,mean,median,std,skewness,kurtosis
temperature_2m,7.365045200933923e-17,-0.1155963366995567,1.0,0.26640542750048213,-0.5433719727822575
hour,11.51088364861363,12.0,6.92185646269071,-0.0032068908323947018,-1.202557442683694
day,14.483026690852553,14.0,9.466503597220681,0.1320787034766208,-1.2940413501291699
month,5.712522674267945,5.0,3.7303234926640374,0.18640618783001958,-1.3171005553870268
year,2023.1759199274422,2023.0,0.8751475046369217,-0.10831650963384135,-1.2491238888485174
is_weekend,0.2506154444156517,0.0,0.4333744651604374,1.1509150387939373,-0.6753945734779503
